"metric" "n_bands" "simulation" "n" "method" "value"
"lambda" "1" "1" "45" "LASSO" 1e-04
"lambdar0" "1" "1" "45" "LASSO" 1e-04
"kappa" "1" "1" "45" "LASSO" 1e-04
"condnum" "1" "1" "45" "LASSO" 1e-04
"EL" "1" "1" "45" "LASSO" 1e-04
"RMSE" "1" "1" "45" "LASSO" 1e-04
"F1" "1" "1" "45" "LASSO" 1e-04
"eTPR" "1" "1" "45" "LASSO" 1e-04
"eTNR" "1" "1" "45" "LASSO" 1e-04
"ePPV" "1" "1" "45" "LASSO" 1e-04
"d" "1" "1" "45" "LASSO" 1e-04
"iters" "1" "1" "45" "LASSO" 1e-04
"time.user.self" "1" "1" "45" "LASSO" 1e-04
"time.sys.self" "1" "1" "45" "LASSO" 1e-04
"time.elapsed" "1" "1" "45" "LASSO" 1e-04
"time.user.child" "1" "1" "45" "LASSO" 1e-04
"time.sys.child" "1" "1" "45" "LASSO" 1e-04
"cv.iters" "1" "1" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "1" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "1" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "1" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "1" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "1" "45" "LASSO" 1e-04
"n.cv.par" "1" "1" "45" "LASSO" 1e-04
"lambda" "7" "1" "45" "LASSO" 1e-04
"lambdar0" "7" "1" "45" "LASSO" 1e-04
"kappa" "7" "1" "45" "LASSO" 1e-04
"condnum" "7" "1" "45" "LASSO" 1e-04
"EL" "7" "1" "45" "LASSO" 1e-04
"RMSE" "7" "1" "45" "LASSO" 1e-04
"F1" "7" "1" "45" "LASSO" 1e-04
"eTPR" "7" "1" "45" "LASSO" 1e-04
"eTNR" "7" "1" "45" "LASSO" 1e-04
"ePPV" "7" "1" "45" "LASSO" 1e-04
"d" "7" "1" "45" "LASSO" 1e-04
"iters" "7" "1" "45" "LASSO" 1e-04
"time.user.self" "7" "1" "45" "LASSO" 1e-04
"time.sys.self" "7" "1" "45" "LASSO" 1e-04
"time.elapsed" "7" "1" "45" "LASSO" 1e-04
"time.user.child" "7" "1" "45" "LASSO" 1e-04
"time.sys.child" "7" "1" "45" "LASSO" 1e-04
"cv.iters" "7" "1" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "1" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "1" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "1" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "1" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "1" "45" "LASSO" 1e-04
"n.cv.par" "7" "1" "45" "LASSO" 1e-04
"lambda" "1" "2" "45" "LASSO" 1e-04
"lambdar0" "1" "2" "45" "LASSO" 1e-04
"kappa" "1" "2" "45" "LASSO" 1e-04
"condnum" "1" "2" "45" "LASSO" 1e-04
"EL" "1" "2" "45" "LASSO" 1e-04
"RMSE" "1" "2" "45" "LASSO" 1e-04
"F1" "1" "2" "45" "LASSO" 1e-04
"eTPR" "1" "2" "45" "LASSO" 1e-04
"eTNR" "1" "2" "45" "LASSO" 1e-04
"ePPV" "1" "2" "45" "LASSO" 1e-04
"d" "1" "2" "45" "LASSO" 1e-04
"iters" "1" "2" "45" "LASSO" 1e-04
"time.user.self" "1" "2" "45" "LASSO" 1e-04
"time.sys.self" "1" "2" "45" "LASSO" 1e-04
"time.elapsed" "1" "2" "45" "LASSO" 1e-04
"time.user.child" "1" "2" "45" "LASSO" 1e-04
"time.sys.child" "1" "2" "45" "LASSO" 1e-04
"cv.iters" "1" "2" "45" "LASSO" 1e-04
"cv.time.user.self" "1" "2" "45" "LASSO" 1e-04
"cv.time.sys.self" "1" "2" "45" "LASSO" 1e-04
"cv.time.elapsed" "1" "2" "45" "LASSO" 1e-04
"cv.time.user.child" "1" "2" "45" "LASSO" 1e-04
"cv.time.sys.child" "1" "2" "45" "LASSO" 1e-04
"n.cv.par" "1" "2" "45" "LASSO" 1e-04
"lambda" "7" "2" "45" "LASSO" 1e-04
"lambdar0" "7" "2" "45" "LASSO" 1e-04
"kappa" "7" "2" "45" "LASSO" 1e-04
"condnum" "7" "2" "45" "LASSO" 1e-04
"EL" "7" "2" "45" "LASSO" 1e-04
"RMSE" "7" "2" "45" "LASSO" 1e-04
"F1" "7" "2" "45" "LASSO" 1e-04
"eTPR" "7" "2" "45" "LASSO" 1e-04
"eTNR" "7" "2" "45" "LASSO" 1e-04
"ePPV" "7" "2" "45" "LASSO" 1e-04
"d" "7" "2" "45" "LASSO" 1e-04
"iters" "7" "2" "45" "LASSO" 1e-04
"time.user.self" "7" "2" "45" "LASSO" 1e-04
"time.sys.self" "7" "2" "45" "LASSO" 1e-04
"time.elapsed" "7" "2" "45" "LASSO" 1e-04
"time.user.child" "7" "2" "45" "LASSO" 1e-04
"time.sys.child" "7" "2" "45" "LASSO" 1e-04
"cv.iters" "7" "2" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "2" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "2" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "2" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "2" "45" "LASSO" 1e-04
